Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100000,Male,Yes,1,Graduate,Yes,31938,1433,619,120,0.0,Rural,Y
LP100001,Male,No,3+,Not Graduate,No,25474,10583,162,120,0.0,Semiurban,N
LP100002,Male,No,2,Not Graduate,No,25141,5050,255,180,1.0,Semiurban,Y
LP100003,Male,Yes,3+,Not Graduate,Yes,10639,12206,653,180,1.0,Semiurban,Y
LP100004,Female,Yes,3+,Graduate,No,12274,9557,548,360,1.0,Urban,Y
LP100005,Female,Yes,2,Graduate,Yes,32758,5824,431,120,0.0,Urban,N
LP100006,Female,No,1,Not Graduate,Yes,9910,8402,553,120,0.0,Urban,N
LP100007,Female,Yes,0,Not Graduate,Yes,16254,12241,518,360,1.0,Rural,Y
LP100008,Male,No,1,Not Graduate,Yes,44490,29079,89,360,,Urban,Y
LP100009,Male,Yes,0,Not Graduate,Yes,41042,28029,242,60,0.0,Urban,Y
LP100010,Male,Yes,1,Graduate,No,7125,19097,536,360,,Semiurban,Y
LP100011,Male,No,0,Not Graduate,No,20295,13650,384,180,1.0,Semiurban,Y
LP100012,Male,No,1,Graduate,Yes,42593,11627,354,60,0.0,Urban,N
LP100013,Male,Yes,1,Not Graduate,No,22159,8439,336,120,0.0,Rural,N
LP100014,Female,No,0,Graduate,No,44220,2944,421,60,1.0,Semiurban,Y
LP100015,Male,Yes,0,Not Graduate,No,1936,3378,369,60,0.0,Rural,N
LP100016,Male,Yes,0,Graduate,Yes,16188,15111,571,360,1.0,Semiurban,N
LP100017,Female,Yes,3+,Graduate,No,4817,22170,452,60,0.0,Rural,Y
LP100018,Female,No,3+,Graduate,Yes,29698,17065,181,120,1.0,Semiurban,Y
LP100019,Female,No,2,Graduate,Yes,17189,5855,669,120,1.0,Urban,N
LP100020,Female,No,2,Not Graduate,Yes,9276,4020,251,120,1.0,Rural,N
LP100021,Female,No,2,Not Graduate,Yes,3182,17513,463,360,0.0,Semiurban,Y
LP100022,Male,Yes,2,Not Graduate,No,22400,2311,360,180,0.0,Semiurban,N
LP100023,Female,Yes,1,Not Graduate,No,5628,22983,371,360,1.0,Rural,Y
LP100024,Female,Yes,2,Not Graduate,No,38144,26501,375,180,0.0,Urban,Y
LP100025,Male,No,1,Not Graduate,Yes,39996,10773,614,360,0.0,Semiurban,Y
LP100026,Female,No,3+,Graduate,No,1609,10594,617,180,,Semiurban,N
LP100027,Female,Yes,3+,Not Graduate,Yes,25519,1431,467,360,0.0,Rural,Y
LP100028,Male,No,1,Graduate,Yes,44603,7082,351,180,,Semiurban,N
LP100029,Male,No,0,Not Graduate,No,3068,16258,461,120,0.0,Rural,N
LP100030,Male,No,1,Graduate,No,29155,24326,361,60,1.0,Rural,Y
LP100031,Male,Yes,1,Not Graduate,No,42571,14331,462,360,1.0,Urban,Y
LP100032,Female,No,3+,Graduate,No,1327,21065,229,120,1.0,Urban,N
LP100033,Male,No,1,Not Graduate,Yes,33617,12638,341,360,1.0,Semiurban,Y
LP100034,Female,Yes,1,Graduate,No,25544,829,643,60,1.0,Urban,N
LP100035,Male,Yes,2,Not Graduate,No,17654,21581,677,60,1.0,Rural,N
LP100036,Male,No,3+,Graduate,No,11583,27975,227,120,1.0,Urban,N
LP100037,Female,Yes,1,Graduate,Yes,17351,16891,123,120,1.0,Semiurban,N
LP100038,Male,No,3+,Not Graduate,Yes,12517,27651,274,360,1.0,Semiurban,Y
LP100039,Male,Yes,2,Not Graduate,No,5693,18809,109,180,0.0,Rural,Y
LP100040,Male,Yes,1,Graduate,No,5778,4408,662,120,0.0,Semiurban,N
LP100041,Female,Yes,3+,Not Graduate,No,22123,15493,411,120,0.0,Rural,Y
LP100042,Female,No,1,Graduate,Yes,5306,6156,183,180,,Rural,N
LP100043,Male,No,2,Graduate,No,35062,25095,567,180,0.0,Rural,N
LP100044,Female,Yes,3+,Not Graduate,No,29819,27325,372,60,,Rural,Y
LP100045,Male,Yes,0,Not Graduate,Yes,38560,28625,272,180,0.0,Rural,Y
LP100046,Female,No,1,Graduate,Yes,48156,22034,134,360,1.0,Semiurban,Y
LP100047,Female,No,0,Not Graduate,No,32493,10985,501,120,0.0,Semiurban,Y
LP100048,Female,Yes,3+,Not Graduate,No,2965,19618,463,180,1.0,Urban,N
LP100049,Male,Yes,3+,Graduate,Yes,28303,10598,468,120,0.0,Rural,N
LP100050,Female,No,1,Graduate,No,11627,27334,210,180,,Urban,N
LP100051,Male,Yes,2,Graduate,No,48104,9273,651,360,0.0,Semiurban,N
LP100052,Male,Yes,1,Not Graduate,Yes,4007,2791,523,180,0.0,Semiurban,Y
LP100053,Female,No,1,Graduate,No,5012,27302,474,360,0.0,Rural,Y
LP100054,Male,No,1,Graduate,No,15589,25282,497,120,1.0,Urban,N
LP100055,Female,No,0,Not Graduate,Yes,40581,14856,147,180,,Semiurban,Y
LP100056,Male,No,3+,Graduate,Yes,48185,27571,358,360,1.0,Urban,N
LP100057,Male,No,2,Graduate,No,24021,22977,681,180,0.0,Rural,Y
LP100058,Male,No,3+,Not Graduate,No,7017,28799,303,360,0.0,Urban,Y
LP100059,Female,No,1,Not Graduate,No,14415,15192,55,120,1.0,Semiurban,Y
LP100060,Female,Yes,1,Graduate,No,45223,13475,494,120,0.0,Rural,N
LP100061,Male,No,3+,Not Graduate,No,24139,29112,555,60,1.0,Semiurban,N
LP100062,Female,No,3+,Not Graduate,No,29067,21004,447,60,1.0,Urban,N
LP100063,Male,Yes,1,Graduate,Yes,24410,10098,643,60,0.0,Rural,N
LP100064,Male,Yes,0,Not Graduate,No,35876,5369,653,180,1.0,Semiurban,N
